City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
sal rei,16.18,-22.92,21.0,68.0,20.0,7.2
ancud,-41.87,-73.82,15.0,58.0,0.0,5.1
rikitea,-23.12,-134.97,25.27,77.0,6.0,8.28
hithadhoo,-0.6,73.08,27.54,77.0,3.0,6.94
talnakh,69.49,88.4,-15.0,84.0,40.0,17.0
cidreira,-30.18,-50.21,22.08,55.0,100.0,8.3
port blair,11.67,92.75,26.44,79.0,26.0,4.64
albany,42.6,-73.97,0.72,63.0,90.0,6.2
hobart,-42.88,147.33,10.67,53.0,40.0,4.6
luang prabang,19.89,102.13,14.65,78.0,0.0,0.3
zhigansk,66.77,123.37,-30.8,97.0,74.0,2.66
saint-philippe,-21.36,55.77,24.14,74.0,65.0,1.5
carnarvon,-24.87,113.63,25.0,94.0,40.0,4.1
tiarei,-17.53,-149.33,28.95,74.0,20.0,4.1
jamestown,42.1,-79.24,-1.43,68.0,90.0,9.8
boa vista,2.82,-60.67,28.0,74.0,75.0,2.1
tuatapere,-46.13,167.68,17.22,76.0,33.0,1.34
vaini,-21.2,-175.2,27.0,94.0,75.0,3.6
bredasdorp,-34.53,20.04,22.9,88.0,92.0,2.6
cape town,-33.93,18.42,21.99,88.0,20.0,11.3
dunedin,-45.87,170.5,16.41,64.0,0.0,4.72
nikolskoye,59.7,30.79,4.71,93.0,90.0,3.0
hofn,64.25,-15.21,5.64,75.0,100.0,6.62
nome,64.5,-165.41,-12.11,72.0,1.0,10.8
sungaipenuh,-2.08,101.38,17.41,98.0,99.0,0.97
busselton,-33.65,115.33,19.38,45.0,26.0,6.06
grass valley,39.22,-121.06,3.63,98.0,100.0,2.1
ushuaia,-54.8,-68.3,9.56,76.0,90.0,2.1
atuona,-9.8,-139.03,27.39,76.0,33.0,10.41
amderma,11.0,122.67,24.0,87.0,,3.35
illoqqortoormiut,11.0,122.67,24.0,87.0,,3.35
bethel,41.37,-73.41,5.04,41.0,90.0,8.2
thompson,55.74,-97.86,-29.0,68.0,40.0,2.6
tuktoyaktuk,69.45,-133.04,-20.0,83.0,90.0,3.6
puerto ayora,-0.74,-90.35,27.17,66.0,40.0,8.2
bambous virieux,-20.34,57.76,26.84,83.0,40.0,4.1
corning,42.14,-77.05,-1.16,80.0,90.0,6.7
fortuna,40.6,-124.16,6.26,87.0,90.0,2.6
minab,27.15,57.08,10.0,76.0,0.0,2.1
butaritari,3.07,172.79,29.04,80.0,100.0,7.38
vila velha,-20.33,-40.29,29.44,66.0,68.0,7.7
kazalinsk,11.0,122.67,24.0,87.0,,3.35
barentsburg,11.0,122.67,24.0,87.0,,3.35
port elizabeth,-33.92,25.57,24.0,88.0,75.0,5.1
hamilton,39.18,-84.53,3.16,47.0,1.0,3.6
mar del plata,-38.0,-57.56,17.79,48.0,20.0,7.2
severo-kurilsk,50.68,156.12,-8.63,90.0,93.0,9.96
kapaa,22.08,-159.32,25.19,74.0,90.0,4.6
narsaq,60.92,-46.05,-6.0,85.0,75.0,2.1
arraial do cabo,-22.97,-42.03,30.45,74.0,40.0,5.1
pisco,-13.7,-76.22,22.1,30.0,40.0,12.3
aitape,-3.14,142.35,28.17,82.0,100.0,10.54
panguna,-6.32,155.48,21.98,96.0,97.0,1.0
nisia floresta,-6.09,-35.21,29.0,70.0,75.0,8.2
elk city,35.41,-99.4,-0.36,54.0,90.0,5.1
castro,-24.79,-50.01,19.72,97.0,100.0,0.5
phultala,22.7,89.52,17.93,66.0,0.0,1.13
santa engracia,41.94,-1.32,8.28,76.0,4.0,5.7
hervey bay,-25.3,152.85,25.34,88.0,40.0,2.22
hermanus,-34.42,19.23,22.78,87.0,0.0,1.79
lethem,3.38,-59.8,34.27,37.0,14.0,7.15
tiksi,71.69,128.87,-28.36,89.0,97.0,3.19
yatou,37.15,122.38,0.43,58.0,100.0,4.86
pevek,69.7,170.31,-21.19,99.0,100.0,7.91
new norfolk,-42.78,147.06,10.63,53.0,40.0,4.6
lompoc,34.64,-120.46,12.52,66.0,90.0,5.7
hilo,19.73,-155.09,21.65,88.0,90.0,2.1
chiredzi,-21.05,31.67,23.75,82.0,99.0,1.21
georgetown,5.41,100.34,26.39,74.0,20.0,3.1
punta arenas,-53.15,-70.92,14.62,59.0,40.0,13.4
ilulissat,69.22,-51.1,-13.0,42.0,20.0,3.6
mataura,-46.19,168.86,17.22,76.0,1.0,1.34
barrow,71.29,-156.79,-12.0,78.0,1.0,3.1
upernavik,72.79,-56.15,-23.09,57.0,1.0,1.96
itarema,-2.92,-39.92,26.71,77.0,95.0,3.2
chumikan,54.72,135.31,-20.82,79.0,97.0,4.27
lasa,46.62,10.7,-1.79,79.0,5.0,0.5
salinopolis,-0.61,-47.36,28.04,80.0,22.0,6.31
ampanihy,-24.7,44.75,26.25,60.0,100.0,1.35
verkhnyaya inta,65.98,60.31,-19.29,98.0,79.0,3.9
korla,41.76,86.15,-10.07,83.0,100.0,2.45
taolanaro,11.0,122.67,24.0,87.0,,3.35
bull savanna,17.89,-77.59,26.65,65.0,32.0,4.53
katsuura,35.13,140.3,6.23,56.0,75.0,6.2
vardo,70.37,31.11,-6.78,79.0,75.0,3.1
grafton,42.21,-71.69,3.13,80.0,90.0,5.1
jalu,29.03,21.55,13.36,67.0,0.0,5.31
saint george,37.1,-113.58,11.89,24.0,10.0,7.2
namibe,-15.2,12.15,24.07,84.0,81.0,4.28
mahebourg,-20.41,57.7,26.85,83.0,40.0,4.1
tamasopo,21.93,-99.48,19.93,68.0,100.0,3.44
nanortalik,60.14,-45.24,-3.54,71.0,100.0,7.92
opuwo,-18.06,13.84,25.54,47.0,68.0,1.09
kegayli,11.0,122.67,24.0,87.0,,3.35
shenjiamen,29.96,122.3,8.83,82.0,100.0,9.44
laguna,38.42,-121.42,5.96,100.0,75.0,5.7
jining,35.41,116.58,-2.32,90.0,0.0,0.4
krasnoselkup,65.7,82.47,-12.66,93.0,100.0,9.2
belushya guba,11.0,122.67,24.0,87.0,,3.35
aklavik,68.22,-135.01,-28.38,74.0,40.0,1.0
saint-joseph,-21.37,55.62,24.18,74.0,68.0,1.5
kavieng,-2.57,150.8,29.1,75.0,84.0,10.59
bluff,-46.6,168.33,17.22,76.0,40.0,1.34
inhambane,-23.86,35.38,27.64,77.0,43.0,3.36
qaanaaq,77.48,-69.36,-27.87,55.0,0.0,4.14
benguela,-12.58,13.41,26.74,79.0,83.0,1.99
riyadh,24.69,46.72,11.0,62.0,10.0,1.5
ghatsila,22.6,86.48,17.26,58.0,0.0,0.56
ponta do sol,32.67,-17.1,15.55,68.0,20.0,1.0
canutama,-6.53,-64.38,30.95,63.0,41.0,0.87
codrington,-38.27,141.97,13.48,75.0,32.0,10.57
souillac,-20.52,57.52,26.85,83.0,40.0,4.1
halalo,11.0,122.67,24.0,87.0,,3.35
key largo,25.09,-80.45,25.77,57.0,1.0,3.6
santa helena,-2.23,-45.3,26.46,86.0,60.0,1.87
arrifes,37.77,-25.7,14.0,82.0,40.0,3.1
sao filipe,14.9,-24.5,21.78,67.0,0.0,9.79
vokhtoga,58.81,41.05,1.37,97.0,99.0,4.46
port alfred,-33.59,26.89,21.67,95.0,0.0,7.79
itaituba,-4.28,-55.98,30.0,70.0,20.0,0.24
lake city,30.19,-82.64,25.39,64.0,90.0,3.6
shimoda,34.67,138.95,3.6,72.0,100.0,0.45
astaneh-ye ashrafiyeh,37.26,49.94,9.25,83.0,81.0,4.57
namatanai,-3.67,152.43,28.7,74.0,100.0,3.52
sorland,67.67,12.69,4.04,93.0,75.0,7.7
warri,5.52,5.75,26.62,78.0,0.0,2.14
macaboboni,11.0,122.67,24.0,87.0,,3.35
kempele,64.92,25.58,-0.25,93.0,90.0,2.6
chokurdakh,70.63,147.92,-28.36,97.0,100.0,3.6
stykkisholmur,65.08,-22.73,0.46,97.0,100.0,5.52
kaitangata,-46.28,169.85,17.78,63.0,0.0,1.48
avarua,-21.21,-159.78,28.0,83.0,100.0,6.2
khatanga,71.97,102.5,-26.17,90.0,92.0,4.59
illescas,40.12,-3.85,8.0,93.0,97.0,1.0
mugan,35.94,101.38,-7.79,56.0,32.0,1.68
sarreguemines,49.08,7.33,5.0,86.0,0.0,3.1
cherskiy,68.75,161.3,-30.5,98.0,100.0,2.14
kodiak,57.79,-152.41,-2.0,68.0,75.0,9.3
bengkulu,-3.8,102.27,22.87,92.0,72.0,1.38
pedernales,18.04,-71.74,30.0,55.0,20.0,7.2
