City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
estacion coahuila,32.19,-115,67.53,30,1,11.41
auki,-8.77,160.7,84.27,76,100,22.66
provideniya,64.38,-173.3,19.4,92,90,13.42
russell,32.35,-85.2,68.45,35,90,11.41
ushuaia,-54.8,-68.3,49.23,76,90,4.7
barrow,71.29,-156.79,10.4,78,1,9.17
mataura,-46.19,168.86,62.35,74,1,0.74
erzin,36.96,36.2,47.59,87,75,11.41
hobart,-42.88,147.33,53.1,53,40,10.29
creel,27.75,-107.63,59.7,45,100,11.54
jamestown,42.1,-79.24,29.19,86,90,23.04
severo-kurilsk,50.68,156.12,16.47,90,93,22.28
guarapari,-20.67,-40.5,84.99,66,68,17.22
south huntington,40.82,-73.4,41.52,48,75,18.34
sentyabrskiy,,,,,,
albany,42.6,-73.97,33.57,44,75,17.22
bajos de haina,18.42,-70.03,83.35,70,20,11.41
taolanaro,,,,,,
tsihombe,,,,,,
tam ky,15.57,108.48,73.4,88,40,1.12
burns lake,54.23,-125.75,-12.96,90,100,5.73
hofn,64.25,-15.21,42.15,75,100,14.81
tasiilaq,65.61,-37.64,17.6,48,0,8.05
ilulissat,69.22,-51.1,6.8,46,20,14.99
barentsburg,,,,,,
punta arenas,-53.15,-70.92,58.53,59,40,29.97
hilo,19.73,-155.09,71.06,88,90,4.7
sakaiminato,35.55,133.23,39.2,86,75,5.82
shingu,33.73,135.98,50.14,68,100,11.68
rikitea,-23.12,-134.97,77.49,77,6,18.52
vaini,-21.2,-175.2,80.6,94,75,8.05
okahandja,-21.98,16.92,77,31,17,3.36
bluff,-46.6,168.33,61.27,69,40,1.7
challans,46.84,-1.87,51.85,100,100,6.93
norman wells,65.28,-126.83,-5.8,83,75,3.36
dikson,73.51,80.55,-3.86,97,100,10.36
airai,-8.93,125.41,67.57,91,36,2.75
morondava,-20.28,44.28,78.24,82,78,3.62
busselton,-33.65,115.33,66.16,46,26,13.56
palabuhanratu,,,,,,
huarmey,-10.07,-78.15,78.57,56,51,7.16
palmer,42.16,-72.33,35.83,74,40,18.34
oleksandrivka,48.96,32.23,33.24,90,97,6.91
rio grande,-32.03,-52.1,73.54,36,20,11.41
sao joao da barra,-21.64,-41.05,87.91,59,65,12.75
starkville,33.45,-88.82,56.43,66,90,9.17
saint-augustin,51.23,-58.65,9.88,73,100,9.66
new norfolk,-42.78,147.06,52.95,53,40,10.29
toliary,,,,,,
bathsheba,13.22,-59.52,82.4,65,40,18.34
guerrero negro,27.98,-114.06,64.44,48,100,4.34
nhamunda,-2.19,-56.71,89.62,55,100,2.55
caravelas,-17.71,-39.25,80.62,84,0,15.21
nishihara,26.18,127.76,65.95,88,40,10.29
saldanha,-33.01,17.94,68,82,0,14.99
kempele,64.92,25.58,32,93,90,8.05
klaksvik,62.23,-6.59,42.8,81,100,23.04
kodiak,57.79,-152.41,28.4,68,75,20.8
labrea,-7.26,-64.8,90.57,54,21,3.13
muisne,0.6,-80.03,80.6,88,75,8.05
port keats,-14.25,129.55,83.25,83,100,9.75
pevek,69.7,170.31,-6.14,99,100,17.69
denpasar,-8.65,115.22,78.8,100,40,3.36
samarai,-10.62,150.67,77.97,83,100,7.16
belushya guba,,,,,,
fairbanks,64.84,-147.72,-17,60,1,2.73
umzimvubu,,,,,,
mahibadhoo,3.78,72.97,80.94,76,49,13.71
talnakh,69.49,88.4,5,84,40,38.03
olga,43.74,135.29,17.38,65,0,25.23
hermanus,-34.42,19.23,73,87,0,4
sitka,57.05,-135.33,19.4,41,20,3.36
beringovskiy,63.05,179.32,28.27,84,100,12.88
nova olimpia,-14.8,-57.29,90.37,61,100,2.33
omboue,-1.57,9.26,77.45,90,100,1.72
ketchikan,55.34,-131.65,21.15,52,90,13.87
tiksi,71.69,128.87,-19.05,89,97,7.14
avarua,-21.21,-159.78,82.4,83,100,12.75
nuuk,64.18,-51.72,10.4,66,75,6.93
atuona,-9.8,-139.03,81.3,76,33,23.29
asahikawa,43.77,142.37,15.17,96,100,5.28
ferme-neuve,46.7,-75.45,9.09,81,100,11.54
lagoa,39.05,-27.98,56.73,55,100,8.23
esperance,-33.87,121.9,66.2,82,90,8.05
kavaratti,10.57,72.64,79.95,78,68,15.3
nikolskoye,59.7,30.79,40.41,93,90,6.71
constitucion,-35.33,-72.42,69.75,45,0,9.57
matagami,49.75,-77.63,-9.4,76,1,9.17
cherskiy,68.75,161.3,-22.9,98,100,4.79
northam,51.03,-4.22,48.78,87,40,11.41
tabou,4.42,-7.35,78.48,89,0,4.18
aitape,-3.14,142.35,82.71,82,100,23.58
geraldton,-28.77,114.6,71.6,88,75,5.82
qaanaaq,77.48,-69.36,-18.17,55,0,9.26
mar del plata,-38,-57.56,63.75,55,40,17.22
iqaluit,63.75,-68.51,-20.11,61,20,21.92
passo de camaragibe,-9.24,-35.49,80.6,74,40,14.99
cape town,-33.93,18.42,71.15,83,20,23.04
kesinga,20.2,83.23,60.98,64,8,3.09
bethel,41.37,-73.41,40.03,41,75,13.87
verkhoyansk,67.54,133.38,-26.18,97,94,1.54
